plot_ids,sd_lbac,pp_lbac,total_lbac,treatment,blocks
101,114,36,150,36+114,1
102,84,36,120,36+84,1
103,0,0,0,0+0,1
104,24,36,60,36+24,1
105,54,36,90,36+54,1
106,24,36,60,36+VRN,1
107,0,100,100,100+0,1
201,54,36,90,36+54,2
202,84,36,120,36+84,2
203,0,36,36,36+VRN,2
204,114,36,150,36+114,2
205,0,100,100,100+0,2
206,24,36,60,36+24,2
207,0,0,0,0+0,2
301,24,36,60,36+VRN,3
302,84,36,120,36+84,3
303,0,100,100,100+0,3
304,24,36,60,36+24,3
305,114,36,150,36+114,3
306,0,0,0,0+0,3
307,54,36,90,36+54,3
401,24,36,60,36+24,4
402,114,36,150,36+114,4
403,0,0,0,0+0,4
404,0,100,100,100+0,4
405,54,36,90,36+54,4
406,84,36,120,36+84,4
407,29,36,65,36+VRN,4
